Rank,Word,Frequency,TFIDF,DocFrequency
0,the,26051,76.85508029,36
1,and,23042,76.01042045,36
2,i,19845,74.98250389,36
3,to,17815,74.23987579,36
4,of,15574,73.31469552,36
5,you,13336,72.24707653,36
6,a,13335,72.24656047,36
7,my,11954,71.49419511,36
8,that,10331,70.49001873,36
9,in,10197,70.40017271,36
10,is,8892,69.45776292,36
11,not,8217,68.91446364,36
12,me,7452,68.24195157,36
13,it,7432,68.22345696,36
14,for,7232,68.03572467,36
15,with,6962,67.77387872,36
16,be,6657,67.46558709,36
17,your,6516,67.31825901,36
18,his,6374,67.16662819,36
19,this,6351,67.14175078,36
20,he,6061,66.82011099,36
21,but,5841,66.56567021,36
22,have,5744,66.45042568,36
23,as,5410,66.03815714,36
24,thou,5169,65.7245528,36
25,him,4944,65.41827981,36
26,will,4845,65.27907759,36
27,so,4777,65.18180616,36
28,what,4275,64.41772499,36
29,thy,3714,63.44962477,36
